current_path	proposed_path	disposition	confidence	routing_rule	rationale
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.05.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.05.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.06.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.06.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.08.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.08.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.09.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.09.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise v.10.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise v.10.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise v9.5.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise v9.5.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Financial Model MASTER 200322.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Financial Model MASTER 200322.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Inputs 190423.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Inputs 190423.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/3 PepsiCo Financial Modeling Exercise/PepsiCo 10-K Selected Pages 190418.pdf	experience-and-portfolio/technical-training/Adventis/3 PepsiCo Financial Modeling Exercise/PepsiCo 10-K Selected Pages 190418.pdf	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/3 PepsiCo Financial Modeling Exercise/Pepsico Exercise 200322.xlsx	experience-and-portfolio/technical-training/Adventis/3 PepsiCo Financial Modeling Exercise/Pepsico Exercise 200322.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/3 PepsiCo Financial Modeling Exercise/Pepsico Financial Model MASTER 200322.xlsx	experience-and-portfolio/technical-training/Adventis/3 PepsiCo Financial Modeling Exercise/Pepsico Financial Model MASTER 200322.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/3 PepsiCo Financial Modeling Exercise/Pepsico Inputs 190422.xlsx	experience-and-portfolio/technical-training/Adventis/3 PepsiCo Financial Modeling Exercise/Pepsico Inputs 190422.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/Adventis Air Exercise v.10.xlsx	experience-and-portfolio/technical-training/Adventis/Adventis Air Exercise v.10.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/Adventis_Boot_Camp_Materials.zip	experience-and-portfolio/technical-training/Adventis/Adventis_Boot_Camp_Materials.zip	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
BADM 301/Activity - Tell me about yourself.pdf	education-and-leadership/coursework/BADM 301/Activity - Tell me about yourself.pdf	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Behavior Interview Project.docx	education-and-leadership/coursework/BADM 301/Behavior Interview Project.docx	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Birkman Reflection - Leo Goldberg.docx	education-and-leadership/coursework/BADM 301/Birkman Reflection - Leo Goldberg.docx	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Birkman Results Finished.pdf	education-and-leadership/coursework/BADM 301/Birkman Results Finished.pdf	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Birkman Results.pdf	education-and-leadership/coursework/BADM 301/Birkman Results.pdf	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Informational Interview Assignment Sheet 2.docx	education-and-leadership/coursework/BADM 301/Informational Interview Assignment Sheet 2.docx	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Informational Interview Assignment Sheet.docx	education-and-leadership/coursework/BADM 301/Informational Interview Assignment Sheet.docx	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company.html	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company.html	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/10866620988.html	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/10866620988.html	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/1158366444328389	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/1158366444328389	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/124437594914419	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/124437594914419	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/670002392.html	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/670002392.html	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/819789980.html	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/819789980.html	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/831257135.html	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/831257135.html	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/AppMeasurement.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/AppMeasurement.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/AppMeasurement.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/AppMeasurement.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/AppMeasurement_Module_ActivityMap.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/AppMeasurement_Module_ActivityMap.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/DataLayer.bdac42f8d55ecb2de070.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/DataLayer.bdac42f8d55ecb2de070.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/NRJS-209506966f4b1a90574	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/NRJS-209506966f4b1a90574	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC021a392dac9347778099fa68daa25e6b-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC021a392dac9347778099fa68daa25e6b-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC06a8cebfb2bb45d6b723eaa0e81aa66a-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC06a8cebfb2bb45d6b723eaa0e81aa66a-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC0b08866951d34c319ec809958c8630a6-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC0b08866951d34c319ec809958c8630a6-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC2016f69b49794d298d36d18dd1c94237-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC2016f69b49794d298d36d18dd1c94237-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC2609f672cea24dc7a12025d686534f25-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC2609f672cea24dc7a12025d686534f25-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC5c67307018d849e9ad5cce5d5a8f5b9b-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC5c67307018d849e9ad5cce5d5a8f5b9b-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC5f53b67c2efd41cfa62fa61b4ce097db-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC5f53b67c2efd41cfa62fa61b4ce097db-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC88418c6f54f74959b48e4544daf5aa78-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC88418c6f54f74959b48e4544daf5aa78-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC989c8e71fa254e9fac09b3d2c2b26f05-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RC989c8e71fa254e9fac09b3d2c2b26f05-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCa494d103b6864be9a8f47caf1b9f0ffb-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCa494d103b6864be9a8f47caf1b9f0ffb-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCa4de6d33586f48d5a57126513aaddfa6-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCa4de6d33586f48d5a57126513aaddfa6-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCb16ccf30765d41b1b0972043724f2a26-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCb16ccf30765d41b1b0972043724f2a26-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCb22b803511e64680871e41f7b79be401-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCb22b803511e64680871e41f7b79be401-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCc0325661d6bb491484e579aee4123acb-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCc0325661d6bb491484e579aee4123acb-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCda15a2d4fcff4b6da0e961c850b64d22-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCda15a2d4fcff4b6da0e961c850b64d22-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCe2f54e1866da4cff9ac220cbd5118a45-source.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/RCe2f54e1866da4cff9ac220cbd5118a45-source.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/TURRK-8ADJT-WDUC5-TC32E-KV9ND	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/TURRK-8ADJT-WDUC5-TC32E-KV9ND	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/VisitorAPI.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/VisitorAPI.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/app.259d64c593b1bb4a1253.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/app.259d64c593b1bb4a1253.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/careersfooterv1.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/careersfooterv1.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/dest5.html	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/dest5.html	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/f(1).txt	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/f(1).txt	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/f(2).txt	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/f(2).txt	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/f(3).txt	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/f(3).txt	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/f(4).txt	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/f(4).txt	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/f.txt	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/f.txt	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/fbevents.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/fbevents.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/globalheaderv1.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/globalheaderv1.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/gtm.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/gtm.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/hotjar-416998.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/hotjar-416998.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/insight.beta.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/insight.beta.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/insight.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/insight.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/js	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/js	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/js(1)	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/js(1)	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/js(2)	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/js(2)	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/js(3)	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/js(3)	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/js(4)	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/js(4)	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/launch-a400cfbb2fd3.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/launch-a400cfbb2fd3.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/mckinsey---company_owler_20190728_090718_original.png	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/mckinsey---company_owler_20190728_090718_original.png	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/modules.c64aa95271c86c62f7b0.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/modules.c64aa95271c86c62f7b0.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/munchkin(1).js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/munchkin(1).js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/munchkin.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/munchkin.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/nr-spa-1216.min.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/nr-spa-1216.min.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/otBannerSdk.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/otBannerSdk.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/otSDKStub.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/otSDKStub.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/pixie.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/pixie.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/powered_by_logo.svg	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/powered_by_logo.svg	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/runtime.27bf0a2acb9117865933.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/runtime.27bf0a2acb9117865933.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/saved_resource(1).html	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/saved_resource(1).html	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/saved_resource(2).html	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/saved_resource(2).html	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/saved_resource.html	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/saved_resource.html	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/shared.92c160232d68c6b275f1.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/shared.92c160232d68c6b275f1.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/styles-12bc84.css	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/styles-12bc84.css	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Jobs _ Careers _ McKinsey & Company_files/vendorv1.js.download	education-and-leadership/coursework/BADM 301/Jobs _ Careers _ McKinsey & Company_files/vendorv1.js.download	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Kami Export - Activity - Tell me about yourself.pdf	education-and-leadership/coursework/BADM 301/Kami Export - Activity - Tell me about yourself.pdf	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Leo_Goldberg_CoverLetter.docx	education-and-leadership/coursework/BADM 301/Leo_Goldberg_CoverLetter.docx	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Leo_Goldberg_CoverLetter.pdf	education-and-leadership/coursework/BADM 301/Leo_Goldberg_CoverLetter.pdf	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Linked in connection request proof.png	education-and-leadership/coursework/BADM 301/Linked in connection request proof.png	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BADM 301/Maldonado BADM 301-857 Fall 2023 Syllabus.docx	education-and-leadership/coursework/BADM 301/Maldonado BADM 301-857 Fall 2023 Syllabus.docx	move-as-bundle	high	BADM 301/	Course assignments and supporting materials.
BMC Proof of Completion.pdf	career-core/certifications/BMC Proof of Completion.pdf	proposed-move	high	BMC Proof of Completion.pdf	Reusable certification evidence.
BNP Internship/Internship Personal Account Page.pdf	experience-and-portfolio/employers/BNP Paribas/Internship Personal Account Page.pdf	move-as-bundle	high	BNP Internship/	Employer/internship records rather than recruiting submissions.
BNP Internship/Summer Intern Certification Forms Complete.pdf	experience-and-portfolio/employers/BNP Paribas/Summer Intern Certification Forms Complete.pdf	move-as-bundle	high	BNP Internship/	Employer/internship records rather than recruiting submissions.
BNP Internship/W4 Complete.pdf	experience-and-portfolio/employers/BNP Paribas/W4 Complete.pdf	move-as-bundle	high	BNP Internship/	Employer/internship records rather than recruiting submissions.
